Index,Item,Description,Quantity,Material,,Source,Link,Source Min. Order Limit,Price / Source Min. Order Limit,Price / Quantity ($USD),Cost Without Shipping($USD)
,,,,Name,Density(g/cm^3),,,,,,
1,Assembly_PCB,Arduino Nano 33 IoT with Soldered JST Connector (VIN-GND),,,,,,,,,
1.1,Arduino Nano 33 IoT,Without Soldered Headers,1,,,Arduino,https://store-usa.arduino.cc/products/arduino-nano-33-iot,1,23.9,23.9,23.9
1.2,2 Pin JST Female Connector,90 Deg. Connector,1,,,Aliexpress,https://www.aliexpress.us/item/3256808718328595.html?spm=a2g0o.productlist.main.1.54f4UIyxUIyx9m&algo_pvid=87268acc-a1da-41c4-9b5f-dcbb1ce27aba&algo_exp_id=87268acc-a1da-41c4-9b5f-dcbb1ce27aba-0&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%210.81%210.81%21%21%210.81%210.81%21%400b1bf20817549548897386071e7c39%2112000047143833620%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bm03_new_user%3A-29895&curPageLogUid=gWvWiRQDKczD&utparam-url=scene%3Asearch%7Cquery_from%3A,10,0.81,0.081,0.081
2,Assembly_Enclosure,2 Piece 3D Printed Assembly with Gaskets,,,,,,,,,
2.1,Enclosure Top,,23249.6 cm^3,ASA,1.155	,eSun,https://www.aliexpress.us/item/3256804784111067.html?gatewayAdapt=4itemAdapt,1 kg,24.31,0.02431,0.652805
2.2,Enclosure Bottom,,28901 cm^3,ASA,1.155,eSun,https://www.aliexpress.us/item/3256804784111067.html?gatewayAdapt=4itemAdapt,1 kg,24.31,0.02431,0.811484
2.3,M2x30-Screw,ISO 7046 Phillips Head Screws - Threaded Along Half of Shaft,4,Black Carbon Steel,,Aliexpress,https://www.aliexpress.us/item/3256806807491285.html?spm=a2g0o.productlist.main.8.1caeg0kSg0kS4c&aem_p4p_detail=202508111857119211322688241820004831099&algo_pvid=89c843dd-fae9-4fb8-aa07-8a01c19e7248&algo_exp_id=89c843dd-fae9-4fb8-aa07-8a01c19e7248-7&pdp_ext_f=%7B%22order%22%3A%22151%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%212.00%211.20%21%21%2114.33%218.60%21%40212a6e2917549638316166443eda1b%2112000038981473385%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bm03_new_user%3A-29895&curPageLogUid=nkn5Iqrnd7Ry&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202508111857119211322688241820004831099_6,50,3.66,0.0732,0.2928
3,DHT22 Module,,1,,,Aliexpress,https://www.aliexpress.us/item/3256806161971824.html?spm=a2g0o.productlist.main.12.38ec78d66JAW6Q&algo_pvid=c82f55a0-021f-43c3-88e8-4e0580344230&algo_exp_id=c82f55a0-021f-43c3-88e8-4e0580344230-11&pdp_ext_f=%7B%22order%22%3A%22161%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%212.38%210.99%21%21%2117.00%217.06%21%40210141f717549659150331018e95d8%2112000037876625634%21sea%21US%210%21ABX%211%210%21m03_new_user%3A-29895%3Bn_tag%3A-29910%3BpisId%3A5000000174047594&curPageLogUid=WpIMtmt5oR3J&utparam-url=scene%3Asearch%7Cquery_from%3A#nav-specification,1,0.99,0.99,0.99
4,103060 LiPo Battery,103060 3.7V With JST Male Connector	1	Lithium Polymer,,,,Alibaba,https://www.alibaba.com/product-detail/DTP-103060-Lipo-Battery-3-7v_1600384790776.htmlm,5,2.2,0.44,0.44
6,M1.6x6-Screw,ISO 7046 Phillips Countersunk Head Screws,2,Black Carbon Steel,,Aliexpress,https://www.aliexpress.us/item/3256806807491285.html?spm=a2g0o.productlist.main.8.1caeg0kSg0kS4c&aem_p4p_detail=202508111857119211322688241820004831099&algo_pvid=89c843dd-fae9-4fb8-aa07-8a01c19e7248&algo_exp_id=89c843dd-fae9-4fb8-aa07-8a01c19e7248-7&pdp_ext_f=%7B%22order%22%3A%22151%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%212.00%211.20%21%21%2114.33%218.60%21%40212a6e2917549638316166443eda1b%2112000038981473385%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bm03_new_user%3A-29895&curPageLogUid=nkn5Iqrnd7Ry&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202508111857119211322688241820004831099_6,100,2.33,0.0233,0.0466
5,M2x3-Screw,ISO 7046 Phillips Countersunk Head Screws,1,Black Carbon Steel,,Aliexpress,https://www.aliexpress.us/item/3256806807491285.html?spm=a2g0o.productlist.main.8.1caeg0kSg0kS4c&aem_p4p_detail=202508111857119211322688241820004831099&algo_pvid=89c843dd-fae9-4fb8-aa07-8a01c19e7248&algo_exp_id=89c843dd-fae9-4fb8-aa07-8a01c19e7248-7&pdp_ext_f=%7B%22order%22%3A%22151%22%2C%22eval%22%3A%221%22%7D&pdp_npi=6%40dis%21USD%212.00%211.20%21%21%2114.33%218.60%21%40212a6e2917549638316166443eda1b%2112000038981473385%21sea%21US%210%21ABX%211%210%21n_tag%3A-29910%3Bm03_new_user%3A-29895&curPageLogUid=nkn5Iqrnd7Ry&utparam-url=scene%3Asearch%7Cquery_from%3A&search_p4p_id=202508111857119211322688241820004831099_6,50,1.2,0.024,0.024
Sub-Total ($USD),,,,,,,,,,,27.2387
Contingency (%),,,,,,,,,,,10
Total ($USD),,,,,,,,,,,29.9626
